,x86,x86_64,armhf,aarch64,ppc64le,s390x
main/a2ps,1,1,1,1,1,1
main/a52dec,1,1,1,1,1,1
main/aaudit,1,1,1,1,1,1
main/abcde,1,1,1,1,1,1
main/abi-compliance-checker,1,1,1,1,1,1
main/abiword,1,1,1,1,1,1
main/abuild,1,1,1,1,1,1
main/acct,1,1,1,1,1,1
main/acf-alpine-baselayout,1,1,1,1,1,1
main/acf-alpine-conf,1,1,1,1,1,1
main/acf-amavisd-new,1,1,1,1,1,1
main/acf-apk-tools,1,1,1,1,1,1
main/acf-asterisk,1,1,1,1,1,1
main/acf-awall,1,1,1,1,1,1
main/acf-chrony,1,1,1,1,1,1
main/acf-clamav,1,1,1,1,1,1
main/acf-clamsmtp,1,1,1,1,1,1
main/acf-core,1,1,1,1,1,1
main/acf-dansguardian,1,1,1,1,1,1
main/acf-db,1,1,1,1,1,1
main/acf-dhcp,1,1,1,1,1,1
main/acf-dnscache,1,1,1,1,1,1
main/acf-dnsmasq,1,1,1,1,1,1
main/acf-dovecot,1,1,1,1,1,1
main/acf-fetchmail,1,1,1,1,1,1
main/acf-freeradius3,1,1,1,1,1,1
main/acf-freeswitch,1,1,1,1,1,1
main/acf-freeswitch-vmail,1,1,1,1,1,1
main/acf-gross,1,1,1,1,1,1
main/acf-heimdal,1,1,1,1,1,1
main/acf-iproute2-qos,1,1,1,1,1,1
main/acf-ipsec-tools,1,1,1,1,1,1
main/acf-iptables,1,1,1,1,1,1
main/acf-jquery,1,1,1,1,1,1
main/acf-kamailio,1,1,1,1,1,1
main/acf-lib,1,1,1,1,1,1
main/acf-lighttpd,1,1,1,1,1,1
main/acf-lvm2,1,1,1,1,1,1
main/acf-mariadb,1,1,1,1,1,1
main/acf-mdadm,1,1,1,1,1,1
main/acf-nsd,1,1,1,1,1,1
main/acf-openldap,1,1,1,1,1,1
main/acf-opennhrp,1,1,1,1,1,1
main/acf-openntpd,1,1,1,1,1,1
main/acf-openssh,1,1,1,1,1,1
main/acf-openssl,1,1,1,1,1,1
main/acf-openvpn,1,1,1,1,1,1
main/acf-pingu,1,1,1,1,1,1
main/acf-postfix,1,1,1,1,1,1
main/acf-postgresql,1,1,1,1,1,1
main/acf-ppp,1,1,1,1,1,1
main/acf-provisioning,1,1,1,1,1,1
main/acf-quagga,1,1,1,1,1,1
main/acf-samba,1,1,1,1,1,1
main/acf-skins,1,1,1,1,1,1
main/acf-snort,1,1,1,1,1,1
main/acf-squid,1,1,1,1,1,1
main/acf-tcpproxy,1,1,1,1,1,1
main/acf-tinydns,1,1,1,1,1,1
main/acf-unbound,1,1,1,1,1,1
main/acf-weblog,1,1,1,1,1,1
main/ack,1,1,1,1,1,1
main/acl,1,1,1,1,1,1
main/aconf,1,1,1,1,1,1
main/acpi,1,1,1,1,1,1
main/acpica,1,1,1,1,1,1
main/adwaita-icon-theme,1,1,1,1,1,1
main/alpine,1,1,1,1,1,1
main/alpine-base,1,1,1,1,1,1
main/alpine-baselayout,1,1,1,1,1,1
main/alpine-conf,1,1,1,1,1,1
main/alpine-mirrors,1,1,1,1,1,1
main/alpine-sdk,1,1,1,1,1,1
main/alsa-lib,1,1,1,1,1,1
main/alsa-utils,1,1,1,1,1,1
main/altermime,1,1,1,1,1,1
main/amavisd-new,1,1,1,1,1,1
main/ansible,1,1,1,1,1,1
main/antiword,1,1,1,1,1,1
main/aoetools,1,1,1,1,1,1
main/apache-mod-auth-kerb,1,1,1,1,1,1
main/apache-mod-auth-ntlm-winbind,1,1,1,1,1,1
main/apache-mod-auth-radius,1,1,1,1,1,1
main/apache-mod-fcgid,1,1,1,1,1,1
main/apache2,1,1,1,1,1,1
main/apache2-mod-wsgi,1,1,1,1,1,1
main/apcupsd,1,1,1,1,1,1
main/apg,1,1,1,1,1,1
main/api-sanity-checker,1,1,1,1,1,1
main/apk-cron,1,1,1,1,1,1
main/apk-tools,1,1,1,1,1,1
main/aports-build,1,1,1,1,1,1
main/appstream-glib,1,1,1,1,1,1
main/apr,1,1,1,1,1,1
main/apr-util,1,1,1,1,1,1
main/aria2,1,1,1,1,1,1
main/arpon,1,1,1,1,1,1
main/arpwatch,1,1,1,1,1,1
main/asciidoc,1,1,1,1,1,1
main/asciidoctor,1,1,1,1,1,1
main/aspell,1,1,1,1,1,1
main/aspell-de,1,1,1,1,1,1
main/aspell-en,1,1,1,1,1,1
main/aspell-fr,1,1,1,1,1,1
main/aspell-ru,1,1,1,1,1,1
main/aspell-uk,1,1,1,1,1,1
main/asterisk,1,1,1,1,1,1
main/at-spi2-atk,1,1,1,1,1,1
main/at-spi2-core,1,1,1,1,1,1
main/atf,1,1,1,1,1,1
main/atk,1,1,1,1,1,1
main/atkmm,1,1,1,1,1,1
main/atop,1,1,1,1,1,1
main/attr,1,1,1,1,1,1
main/audacious,1,1,1,1,1,1
main/audacious-plugins,1,1,1,1,1,1
main/augeas,1,1,1,1,1,1
main/aumix,1,1,1,1,1,1
main/autoconf,1,1,1,1,1,1
main/automake,1,1,1,1,1,1
main/avahi,1,1,1,1,1,1
main/avahi-ui,1,1,1,1,1,1
main/avfs,1,1,1,1,1,1
main/awall,1,1,1,1,1,1
main/awstats,1,1,1,1,1,1
main/axel,1,1,1,1,1,1
main/b43-fwcutter,1,1,1,1,1,1
main/babl,1,1,1,1,1,1
main/backuppc,1,1,1,1,1,1
main/bacula,1,1,1,1,1,1
main/bash,1,1,1,1,1,1
main/bash-completion,1,1,1,1,1,1
main/bbsuid,1,1,1,1,1,1
main/bc,1,1,1,1,1,1
main/bcache-tools,1,1,1,1,1,1
main/bdftopcf,1,1,1,1,1,1
main/beecrypt,1,1,1,1,1,1
main/beep,1,1,1,1,1,1
main/bigreqsproto,1,1,1,1,1,1
main/bind,1,1,1,1,1,1
main/binutils,1,1,1,1,1,1
main/bison,1,1,1,1,1,1
main/bitchx,1,1,1,1,1,1
main/bitlbee,1,1,1,1,1,1
main/bluez,1,1,1,1,1,1
main/bluez-firmware,1,1,1,1,1,1
main/bmd-tools,1,1,1,1,1,1
main/bonding,1,1,1,1,1,1
main/boost,1,1,1,1,1,1
main/bridge,1,1,1,1,1,1
main/bridge-utils,1,1,1,1,1,1
main/brlaser,1,1,1,1,1,1
main/btrfs-progs,1,1,1,1,1,1
main/build-base,1,1,1,1,1,1
main/busybox,1,1,1,1,1,1
main/busybox-initscripts,1,1,1,1,1,1
main/bvi,1,1,1,1,1,1
main/bwm-ng,1,1,1,1,1,1
main/byacc,1,1,1,1,1,1
main/byobu,1,1,1,1,1,1
main/bzip2,1,1,1,1,1,1
main/c-ares,1,1,1,1,1,1
main/ca-certificates,1,1,1,1,1,1
main/cabextract,1,1,1,1,1,1
main/cadaver,1,1,1,1,1,1
main/cairo,1,1,1,1,1,1
main/cairomm,1,1,1,1,1,1
main/ccache,1,1,1,1,1,1
main/cciss_vol_status,1,1,1,1,1,1
main/cd-discid,1,1,1,1,1,1
main/cdparanoia,1,1,1,1,1,1
main/cdrkit,1,1,1,1,1,1
main/cdw,1,1,1,1,1,1
main/cegui06,1,1,1,1,1,1
main/celt051,1,1,1,1,1,1
main/cgdb,1,1,1,1,1,1
main/cgit,1,1,1,1,1,1
main/charybdis,1,1,1,1,1,1
main/check,1,1,1,1,1,1
main/checkbashisms,1,1,1,1,1,1
main/chrony,1,1,1,1,1,1
main/chrpath,1,1,1,1,1,1
main/cifs-utils,1,1,1,1,1,1
main/ciwiki,1,1,1,1,1,1
main/cjdns,0,1,1,1,1,0
